Order ID,Order Date,Customer ID,Customer Name,Product ID,Product Name,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Cost,Profit,Region,City,Payment Method,Customer Type,Profit Margin,Year,Month,Month Name,Year-Month
O044561,2025-03-23,C00018,Customer 18,P015,Cases 3,Mobile Accessories,Cases,1,1441.0,0.0995,1297.61,1043.58,254.03,South,Chennai,UPI,Returning,0.19576760351723554,2025,3,Mar,2025-03
O041790,2025-06-18,C00018,Customer 18,P060,Smart Lights 4,Smart Gadgets,Smart Lights,1,520.0,0.1115,462.02,272.15,189.87,South,Kochi,UPI,Returning,0.4109562356607939,2025,6,Jun,2025-06
O014153,2024-09-23,C00019,Customer 19,P027,Keyboards 3,Computer Accessories,Keyboards,2,1506.0,0.1268,2630.16,1718.21,911.95,North,Delhi,Cash on Delivery,New,0.3467279557137209,2024,9,Sep,2024-09
O024416,2025-09-17,C00019,Customer 19,P027,Keyboards 3,Computer Accessories,Keyboards,3,1506.0,0.1104,4019.19,2577.31,1441.88,West,Nagpur,Debit Card,Returning,0.3587489021419739,2025,9,Sep,2025-09
O043448,2025-01-19,C00020,Customer 20,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.0905,914.94,741.41,173.53,West,Pune,UPI,New,0.18966271012306818,2025,1,Jan,2025-01
O021133,2024-10-08,C00021,Customer 21,P041,Laptop Stands 1,Computer Accessories,Laptop Stands,2,1423.0,0.2471,2142.81,1448.38,694.43,East,Kolkata,UPI,New,0.3240744629715187,2024,10,Oct,2024-10
O006425,2025-04-30,C00021,Customer 21,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.0783,927.22,741.41,185.81,West,Surat,Cash on Delivery,Returning,0.20039472832768923,2025,4,Apr,2025-04
O015444,2024-06-03,C00024,Customer 24,P062,Trackers 2,Smart Gadgets,Trackers,3,1518.0,0.1745,3759.24,2988.76,770.48,South,Hyderabad,Debit Card,New,0.20495632095849162,2024,6,Jun,2024-06
O029128,2025-01-11,C00024,Customer 24,P039,USB Hubs 3,Computer Accessories,USB Hubs,1,834.0,0.2319,640.57,512.75,127.81,West,Nagpur,Credit Card,Returning,0.19952542267043413,2025,1,Jan,2025-01
O038795,2025-05-10,C00024,Customer 24,P015,Cases 3,Mobile Accessories,Cases,1,1441.0,0.0733,1335.39,1043.58,291.8,North,Jaipur,UPI,Returning,0.21851294378421285,2025,5,May,2025-05
O015218,2025-05-14,C00024,Customer 24,P034,Webcams 2,Computer Accessories,Webcams,1,1236.0,0.1429,1059.42,852.73,206.69,East,Patna,Cash on Delivery,Returning,0.19509731740008682,2025,5,May,2025-05
O022296,2025-06-14,C00024,Customer 24,P020,Screen Protectors 4,Mobile Accessories,Screen Protectors,1,1968.0,0.1227,1726.51,1217.33,509.18,South,Coimbatore,Credit Card,Returning,0.2949186509200642,2025,6,Jun,2025-06
O010433,2025-08-19,C00024,Customer 24,P024,Audio 4,Mobile Accessories,Audio,1,2700.0,0.1131,2394.56,1860.02,534.54,West,Pune,Debit Card,Returning,0.2232309902445543,2025,8,Aug,2025-08
O034312,2025-11-24,C00024,Customer 24,P055,Smart Speakers 3,Smart Gadgets,Smart Speakers,2,2173.0,0.1448,3716.82,2196.18,1520.65,West,Nagpur,UPI,Returning,0.4091266189915035,2025,11,Nov,2025-11
O036130,2024-05-02,C00025,Customer 25,P040,USB Hubs 4,Computer Accessories,USB Hubs,1,2074.0,0.1587,1744.86,1164.91,579.95,South,Bengaluru,UPI,New,0.3323762364888874,2024,5,May,2024-05
O048383,2024-07-31,C00025,Customer 25,P051,Smartwatches 3,Smart Gadgets,Smartwatches,2,759.0,0.0349,1464.97,925.42,539.55,West,Nagpur,Credit Card,Returning,0.36830105735953633,2024,7,Jul,2024-07
O018606,2024-11-16,C00025,Customer 25,P015,Cases 3,Mobile Accessories,Cases,1,1441.0,0.2938,1017.64,1043.58,-25.94,South,Chennai,UPI,Returning,-0.025490350222082465,2024,11,Nov,2024-11
O043209,2025-01-15,C00025,Customer 25,P055,Smart Speakers 3,Smart Gadgets,Smart Speakers,1,2173.0,0.2579,1612.55,1098.09,514.46,South,Hyderabad,Credit Card,Returning,0.31903506868004095,2025,1,Jan,2025-01
O036179,2025-01-25,C00025,Customer 25,P055,Smart Speakers 3,Smart Gadgets,Smart Speakers,2,2173.0,0.2174,3401.21,2196.18,1205.03,South,Bengaluru,Credit Card,Returning,0.3542945010746176,2025,1,Jan,2025-01
O049737,2025-02-18,C00025,Customer 25,P060,Smart Lights 4,Smart Gadgets,Smart Lights,1,520.0,0.1178,458.75,272.15,186.6,East,Patna,Debit Card,Returning,0.4067574931880109,2025,2,Feb,2025-02
O036833,2025-03-07,C00025,Customer 25,P058,Smart Lights 2,Smart Gadgets,Smart Lights,1,1791.0,0.0249,1746.4,1125.1,621.3,South,Hyderabad,Cash on Delivery,Returning,0.3557604214383875,2025,3,Mar,2025-03
O043698,2024-08-07,C00026,Customer 26,P040,USB Hubs 4,Computer Accessories,USB Hubs,1,2074.0,0.2044,1650.06,1164.91,485.15,South,Bengaluru,UPI,New,0.29401961140807,2024,8,Aug,2024-08
O025863,2025-01-12,C00026,Customer 26,P034,Webcams 2,Computer Accessories,Webcams,3,1236.0,0.2392,2821.11,2558.19,262.92,North,Delhi,UPI,Returning,0.09319735848655317,2025,1,Jan,2025-01
O044908,2025-03-05,C00026,Customer 26,P034,Webcams 2,Computer Accessories,Webcams,4,1236.0,0.1174,4363.38,3410.93,952.46,North,Delhi,Debit Card,Returning,0.21828490757165317,2025,3,Mar,2025-03
O015505,2024-02-08,C00027,Customer 27,P004,Chargers 4,Mobile Accessories,Chargers,3,2152.0,0.1971,5183.28,3890.12,1293.17,South,Bengaluru,UPI,New,0.24948874072016178,2024,2,Feb,2024-02
O002633,2024-07-08,C00027,Customer 27,P047,Storage 3,Computer Accessories,Storage,1,1284.0,0.0728,1190.53,684.41,506.11,North,Lucknow,Cash on Delivery,Returning,0.42511318488404326,2024,7,Jul,2024-07
O039636,2024-09-13,C00027,Customer 27,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.0801,925.41,741.41,184.01,North,Delhi,Cash on Delivery,Returning,0.1988415945364757,2024,9,Sep,2024-09
O001913,2024-01-11,C00028,Customer 28,P024,Audio 4,Mobile Accessories,Audio,1,2700.0,0.0961,2440.53,1860.02,580.51,West,Nagpur,Debit Card,New,0.23786226762219678,2024,1,Jan,2024-01
O029575,2024-02-07,C00028,Customer 28,P033,Webcams 1,Computer Accessories,Webcams,1,1111.0,0.1306,965.88,836.11,129.77,North,Chandigarh,Cash on Delivery,Returning,0.13435416407835343,2024,2,Feb,2024-02
O000124,2024-05-07,C00028,Customer 28,P058,Smart Lights 2,Smart Gadgets,Smart Lights,1,1791.0,0.2283,1382.07,1125.1,256.97,South,Hyderabad,UPI,Returning,0.18593124805545308,2024,5,May,2024-05
O021741,2024-07-02,C00028,Customer 28,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.2547,749.78,741.41,8.38,South,Coimbatore,Debit Card,Returning,0.0111766118061298,2024,7,Jul,2024-07
O016613,2025-02-08,C00028,Customer 28,P003,Chargers 3,Mobile Accessories,Chargers,1,2603.0,0.0907,2366.79,1417.01,949.78,East,Patna,UPI,Returning,0.4012945804232737,2025,2,Feb,2025-02
O032924,2024-02-07,C00029,Customer 29,P024,Audio 4,Mobile Accessories,Audio,1,2700.0,0.036,2602.79,1860.02,742.77,West,Ahmedabad,Cash on Delivery,New,0.28537454039703547,2024,2,Feb,2024-02
O026279,2024-05-25,C00029,Customer 29,P008,Cables 4,Mobile Accessories,Cables,1,2400.0,0.051,2277.6,1354.6,923.01,South,Chennai,Cash on Delivery,Returning,0.4052555321390938,2024,5,May,2024-05
O030999,2024-07-21,C00029,Customer 29,P016,Cases 4,Mobile Accessories,Cases,1,835.0,0.0819,766.57,442.63,323.95,South,Coimbatore,Debit Card,Returning,0.42259676220045134,2024,7,Jul,2024-07
O010521,2024-08-24,C00029,Customer 29,P007,Cables 3,Mobile Accessories,Cables,1,2330.0,0.0465,2221.62,1159.15,1062.47,West,Pune,Net Banking,Returning,0.4782411033390049,2024,8,Aug,2024-08
O000708,2025-04-22,C00029,Customer 29,P042,Laptop Stands 2,Computer Accessories,Laptop Stands,1,2530.0,0.0998,2277.4,1899.48,377.92,West,Ahmedabad,Net Banking,Returning,0.16594361991744971,2025,4,Apr,2025-04
O042995,2025-05-30,C00029,Customer 29,P015,Cases 3,Mobile Accessories,Cases,1,1441.0,0.0587,1356.41,1043.58,312.83,North,Chandigarh,Credit Card,Returning,0.23063085645195772,2025,5,May,2025-05
O018310,2025-07-11,C00029,Customer 29,P026,Keyboards 2,Computer Accessories,Keyboards,1,744.0,0.1066,664.68,442.16,222.52,South,Coimbatore,UPI,Returning,0.33477763735933086,2025,7,Jul,2025-07
O036376,2025-09-02,C00029,Customer 29,P029,Mice 1,Computer Accessories,Mice,1,631.0,0.1092,562.12,371.37,190.75,South,Chennai,Net Banking,Returning,0.3393403543727318,2025,9,Sep,2025-09
O003790,2024-01-12,C00030,Customer 30,P058,Smart Lights 2,Smart Gadgets,Smart Lights,1,1791.0,0.1283,1561.2,1125.1,436.1,North,Chandigarh,Net Banking,New,0.2793364078913656,2024,1,Jan,2024-01
O049090,2024-06-26,C00030,Customer 30,P061,Trackers 1,Smart Gadgets,Trackers,1,2071.0,0.1719,1715.01,1058.32,656.69,North,Amritsar,Net Banking,Returning,0.382907388295112,2024,6,Jun,2024-06
O042869,2024-08-01,C00030,Customer 30,P058,Smart Lights 2,Smart Gadgets,Smart Lights,3,1791.0,0.0862,4909.58,3375.3,1534.28,North,Amritsar,Credit Card,Returning,0.31250738352364155,2024,8,Aug,2024-08
O039387,2024-08-20,C00030,Customer 30,P067,Mini Fans 3,Smart Gadgets,Mini Fans,2,1765.0,0.1362,3049.25,2320.18,729.07,East,Kolkata,UPI,Returning,0.23909813888661147,2024,8,Aug,2024-08
O014365,2024-09-20,C00030,Customer 30,P062,Trackers 2,Smart Gadgets,Trackers,1,1518.0,0.0837,1390.9,996.25,394.65,East,Ranchi,Debit Card,Returning,0.2837371486088144,2024,9,Sep,2024-09
O034041,2025-06-29,C00030,Customer 30,P039,USB Hubs 3,Computer Accessories,USB Hubs,1,834.0,0.1026,748.46,512.75,235.71,North,Chandigarh,UPI,Returning,0.31492664938674075,2025,6,Jun,2025-06
O028520,2025-10-05,C00030,Customer 30,P029,Mice 1,Computer Accessories,Mice,1,631.0,0.1783,518.48,371.37,147.11,South,Coimbatore,UPI,Returning,0.2837332201820707,2025,10,Oct,2025-10
O012823,2025-10-20,C00030,Customer 30,P055,Smart Speakers 3,Smart Gadgets,Smart Speakers,1,2173.0,0.3,1521.1,1098.09,423.01,North,Jaipur,Cash on Delivery,Returning,0.2780947998159227,2025,10,Oct,2025-10
O008836,2024-02-22,C00031,Customer 31,P020,Screen Protectors 4,Mobile Accessories,Screen Protectors,2,1968.0,0.1621,3297.82,2434.66,863.15,East,Kolkata,UPI,New,0.26173350880278484,2024,2,Feb,2024-02
O020032,2024-04-07,C00031,Customer 31,P065,Mini Fans 1,Smart Gadgets,Mini Fans,2,1976.0,0.0631,3702.54,2585.87,1116.67,North,Lucknow,UPI,Returning,0.30159566135679833,2024,4,Apr,2024-04
O008704,2024-09-01,C00031,Customer 31,P048,Storage 4,Computer Accessories,Storage,1,1006.0,0.07,935.55,741.41,194.15,West,Pune,UPI,Returning,0.2075249853027631,2024,9,Sep,2024-09
O030854,2024-12-18,C00031,Customer 31,P060,Smart Lights 4,Smart Gadgets,Smart Lights,2,520.0,0.0987,937.39,544.29,393.1,North,Amritsar,Debit Card,Returning,0.41935587108887445,2024,12,Dec,2024-12
